證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,漲跌幅
2353,宏碁,15159776,6847,653438812,43.2,43.5,42.8,43.05,-0.1,43.00,429,43.05,75,23.02,-0.0
2354,鴻準,21464674,17086,1479980459,69.7,69.8,68.5,68.6,-1.1,68.60,362,68.70,15,25.22,-0.02
2355,敬鵬,2196241,1702,91992809,42.25,42.45,41.6,41.75,-0.5,41.70,41,41.75,2,13.6,-0.01
2356,英業達,32176262,17199,1477888558,45.65,46.7,45.35,45.35,-0.55,45.35,67,45.45,4,24.12,-0.01
2357,華碩,3279893,4816,1696832462,524.0,524.0,511.0,517.0,-2.0,516.00,1,517.00,32,11.9,-0.0
2359,所羅門,15039480,11652,2439271163,164.0,165.5,160.0,160.0,-6.5,160.00,491,160.50,26,126.98,-0.04
2360,致茂,2322860,4109,733861026,320.0,320.0,314.0,316.0,-5.5,315.50,3,316.00,52,30.53,-0.02
2362,藍天,9432316,6656,567824399,59.5,61.5,58.9,60.3,0.4,60.30,16,60.40,44,21.01,0.01
2363,矽統,10012747,10015,721525185,72.2,73.5,71.3,71.3,-1.4,71.30,110,71.40,95,0.0,-0.02
2364,倫飛,6430674,5309,778059190,117.5,127.0,113.5,116.5,1.0,116.50,6,117.00,26,30.1,0.01
2365,昆盈,24934439,15619,1585556495,64.6,64.8,62.7,62.7,-2.6,62.70,102,62.80,13,139.33,-0.04
2367,燿華,7780043,4007,270594471,35.25,35.25,34.5,34.55,-0.55,34.55,104,34.60,11,37.55,-0.02
2368,金像電,3435138,3281,731198186,213.0,214.5,211.5,213.5,0.0,213.00,38,213.50,7,20.71,0.0
2369,菱生,692878,529,13676487,19.85,20.0,19.6,19.7,-0.15,19.70,5,19.75,32,0.0,-0.01
2371,大同,14311672,6946,660106727,45.9,46.85,45.55,45.6,-0.25,45.60,24,45.65,5,73.55,-0.01
2373,震旦行,58667,89,4018422,68.3,69.1,68.0,69.1,1.0,68.40,1,69.10,5,15.09,0.01
2374,佳能,8533906,6060,457838775,54.3,54.8,53.0,53.2,-1.7,53.10,48,53.20,7,26.47,-0.03
2375,凱美,292193,246,19763736,67.2,68.3,66.8,67.8,0.3,67.70,1,67.80,2,21.19,0.0
2376,技嘉,7603906,8286,1970257322,260.5,262.0,257.0,259.0,-3.0,258.50,65,259.00,11,21.07,-0.01
2377,微星,3258020,2528,573592795,175.5,177.5,174.0,175.0,1.0,175.00,202,175.50,3,19.23,0.01
2379,瑞昱,1367706,3055,739923272,542.0,548.0,536.0,537.0,-10.0,536.00,33,538.00,13,22.45,-0.02
